Customer_ID,Age,Annual_Income_k,Spending_Score,Savings_Score
1001,56,59,92,60
1002,69,79,89,2
1003,46,103,62,1
1004,32,85,97,48
1005,60,23,1,12
1006,25,102,27,69
1007,38,15,62,37
1008,56,122,77,32
1009,36,22,3,9
1010,40,102,70,99
1011,28,77,72,19
1012,28,25,27,48
1013,41,129,9,80
1014,53,95,62,3
1015,57,22,37,20
1016,41,49,97,24
1017,20,49,51,54
1018,39,47,44,33
1019,19,19,24,24
1020,41,120,79,75
1021,61,117,59,72
1022,47,136,32,36
1023,55,55,96,38
1024,19,42,88,84
1025,38,21,52,99
1026,50,87,62,89
1027,29,86,58,99
1028,39,26,52,25
1029,61,48,12,93
1030,42,47,39,18
1031,66,62,2,82
1032,44,133,3,66
1033,59,37,56,54
1034,45,76,81,35
1035,33,102,59,80
1036,32,51,2,61
1037,64,113,2,41
1038,68,58,92,33
1039,61,118,54,68
1040,69,100,87,33
1041,20,105,96,14
1042,54,49,97,21
1043,68,79,1,48
1044,24,113,19,20
1045,38,115,2,8
1046,26,61,53,7
1047,56,92,44,67
1048,35,17,90,17
1049,21,15,32,33
1050,42,19,70,48
1051,31,104,32,76
1052,67,133,68,59
1053,26,28,55,86
1054,43,117,75,22
1055,19,41,56,30
1056,37,23,17,38
1057,45,93,38,51
1058,64,29,24,54
1059,24,104,69,8
1060,61,56,98,27
1061,25,91,70,27
1062,64,65,86,98
1063,52,77,11,21
1064,31,110,16,30
1065,34,117,97,97
1066,53,127,73,28
1067,67,66,59,64
1068,57,110,70,97
1069,21,18,80,69
1070,19,108,93,61
1071,23,115,3,48
1072,59,37,20,19
1073,21,117,59,4
1074,46,123,36,35
1075,35,29,19,64
1076,43,57,90,49
1077,61,43,67,17
1078,51,50,19,44
1079,27,27,20,92
1080,53,46,96,30
1081,31,85,71,93
1082,48,73,52,46
1083,65,129,33,6
1084,32,100,40,99
1085,25,42,39,37
1086,31,80,82,24
1087,40,56,1,93
1088,57,59,11,46
1089,38,76,92,53
1090,33,71,57,95
1091,62,131,89,99
1092,35,20,50,60
1093,64,42,23,97
1094,41,42,31,63
1095,43,122,94,85
1096,42,58,42,32
1097,62,98,99,87
1098,58,44,7,33
1099,46,76,16,67
1100,32,89,90,18
